epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15023,0.67779,2.27194,1.22043,0.00344,1,0.23773,0.10564,0.72469,2.50042,0.73472,0.0950005,5e-07,5e-07
2,2.88008,0.58734,2.08574,1.16895,0.00344,1,0.23738,0.11051,0.67234,2.34848,0.71418,0.0890011,1.056e-06,1.056e-06
3,3.5461,0.57332,1.77489,1.18131,0.01534,1,0.28561,0.11962,0.61778,2.37143,0.6876,0.0830016,1.564e-06,1.564e-06
4,4.17699,0.52638,1.63486,1.14866,0.01547,1,0.29759,0.12284,0.57597,2.49445,0.67463,0.077002,2.024e-06,2.024e-06
5,4.7967,0.51996,1.59527,1.14972,0.01549,1,0.31568,0.13598,0.55351,2.63191,0.66149,0.0710024,2.436e-06,2.436e-06
6,5.39992,0.52819,1.56828,1.14435,0.01551,1,0.33363,0.15723,0.5327,2.7441,0.65078,0.0650028,2.8e-06,2.8e-06
7,6.0374,0.4755,1.59134,1.14926,0.01561,1,0.3463,0.16325,0.51889,2.75406,0.65153,0.0590031,3.116e-06,3.116e-06
8,6.66326,0.50688,1.52249,1.12841,0.0158,1,0.3727,0.18133,0.50226,2.72884,0.64421,0.0530034,3.384e-06,3.384e-06
9,7.2887,0.52566,1.56342,1.15954,0.0159,1,0.38,0.18814,0.4904,2.66181,0.63679,0.0470036,3.604e-06,3.604e-06
10,7.87229,0.47265,1.53222,1.1218,0.01607,1,0.39627,0.20476,0.48429,2.61116,0.63916,0.0410038,3.776e-06,3.776e-06
11,8.46417,0.46701,1.49925,1.14171,0.02828,1,0.39955,0.22094,0.47446,2.57276,0.6406,0.0350039,3.9e-06,3.9e-06
12,9.04484,0.46191,1.54595,1.10282,0.07555,1,0.40845,0.22531,0.47784,2.54819,0.65049,0.029004,3.976e-06,3.976e-06
13,9.60647,0.49746,1.52767,1.12317,0.18557,0.90909,0.4195,0.23503,0.46889,2.52132,0.65173,0.023004,4.004e-06,4.004e-06
14,10.2594,0.46855,1.51403,1.11097,0.29669,0.72727,0.43034,0.26106,0.46502,2.49771,0.65273,0.017004,3.984e-06,3.984e-06
15,10.8201,0.49667,1.56282,1.15961,0.34346,0.59091,0.45156,0.28512,0.46581,2.49923,0.65766,0.0110039,3.916e-06,3.916e-06
16,27.9138,0.49613,2.59577,1.1821,0.42362,0.59091,0.44183,0.26565,0.51134,2.53116,0.68495,0.0050038,3.80001e-06,3.80001e-06
17,28.4873,0.51361,2.60599,1.24437,0.37761,0.54545,0.41468,0.23077,0.54358,2.57063,0.7026,3.60001e-06,3.60001e-06,3.60001e-06
18,29.0722,0.53347,2.57244,1.21819,0.39826,0.48175,0.41371,0.22447,0.58803,2.59981,0.73612,3.20001e-06,3.20001e-06,3.20001e-06
19,29.6737,0.51295,2.54661,1.22599,0.37524,0.45455,0.416,0.22228,0.60952,2.61409,0.75144,2.80001e-06,2.80001e-06,2.80001e-06
20,30.268,0.47405,2.58227,1.22442,0.37398,0.45455,0.42411,0.22913,0.64312,2.64656,0.77078,2.40001e-06,2.40001e-06,2.40001e-06
