epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7979,0.60229,1.1892,1.08963,0.9428,0.89653,0.96973,0.7486,0.59946,1.33701,0.63408,0.0672797,0.000330508,0.000330508
2,31.8537,0.54632,0.75272,1.0618,0.94771,0.92976,0.94512,0.76436,0.43473,0.49956,0.48585,0.0342664,0.000650566,0.000650566
3,48.4957,0.53213,0.69694,1.05291,0.96448,0.97984,0.99226,0.80904,0.50438,0.61187,0.57644,0.00123978,0.000957292,0.000957292
4,60.8046,0.50906,0.65432,1.04289,0.90445,0.94939,0.9759,0.74635,0.56962,0.80168,0.62445,0.000940006,0.000940006,0.000940006
5,74.0236,0.49677,0.62179,1.03727,0.99123,0.99659,0.995,0.77298,0.55192,0.4751,0.58685,0.000920008,0.000920008,0.000920008
6,87.1962,0.47191,0.5993,1.02709,0.92982,0.96667,0.97643,0.78664,0.39558,0.39529,0.43974,0.00090001,0.00090001,0.00090001
7,100.318,0.47298,0.60175,1.02754,0.95945,0.98065,0.9818,0.78256,0.46437,0.44081,0.50821,0.000880012,0.000880012,0.000880012
8,113.371,0.46123,0.58429,1.02676,0.98977,0.99643,0.995,0.82522,0.41279,0.36185,0.45109,0.000860014,0.000860014,0.000860014
9,127.176,0.45522,0.57058,1.02439,0.9973,1,0.995,0.85194,0.37733,0.35294,0.43131,0.000840016,0.000840016,0.000840016
10,141.123,0.45353,0.55768,1.02141,0.97893,0.99664,0.99452,0.77441,0.45906,0.47372,0.48849,0.000820018,0.000820018,0.000820018
11,154.068,0.43818,0.5509,1.0208,0.99851,0.99277,0.995,0.80681,0.42606,0.40653,0.47071,0.00080002,0.00080002,0.00080002
12,167.738,0.43043,0.5474,1.01431,0.96124,0.9631,0.97688,0.75126,0.47133,0.42128,0.53011,0.000780022,0.000780022,0.000780022
13,181.332,0.43037,0.53893,1.00788,0.97512,0.98333,0.99247,0.811,0.40644,0.34185,0.42452,0.000760024,0.000760024,0.000760024
14,196.808,0.42868,0.52239,1.01153,0.96312,0.99571,0.99389,0.8494,0.41084,0.38649,0.44494,0.000740026,0.000740026,0.000740026
15,211.117,0.42296,0.52018,1.01057,0.98906,0.98333,0.98172,0.85665,0.36005,0.32445,0.41107,0.000720028,0.000720028,0.000720028
16,225.277,0.42377,0.52588,1.01101,0.99459,0.98333,0.99452,0.82761,0.40045,0.32517,0.4294,0.00070003,0.00070003,0.00070003
17,238.619,0.40937,0.49559,1.00069,0.99589,1,0.995,0.84033,0.45374,0.37087,0.47916,0.000680032,0.000680032,0.000680032
18,252.266,0.41328,0.51421,1.00678,0.98197,0.99026,0.99238,0.84853,0.3697,0.33946,0.44151,0.000660034,0.000660034,0.000660034
19,262.037,0.40613,0.50337,0.99952,0.99127,0.98333,0.99452,0.81002,0.47631,0.44038,0.50108,0.000640036,0.000640036,0.000640036
20,272.072,0.39827,0.49293,0.9929,0.99156,0.99706,0.995,0.8135,0.38988,0.32596,0.44604,0.000620038,0.000620038,0.000620038
21,281.995,0.40907,0.49962,1.00139,0.99087,1,0.995,0.81577,0.44247,0.32693,0.46214,0.00060004,0.00060004,0.00060004
22,291.857,0.3973,0.48777,0.99,0.96396,0.99319,0.99403,0.88409,0.36212,0.34581,0.41735,0.000580042,0.000580042,0.000580042
23,301.671,0.39849,0.49628,0.99513,0.97964,1,0.99081,0.85445,0.38032,0.28485,0.42235,0.000560044,0.000560044,0.000560044
24,311.287,0.38816,0.47308,0.99201,0.97646,0.99286,0.99325,0.8621,0.36717,0.33185,0.40523,0.000540046,0.000540046,0.000540046
25,321.031,0.39404,0.4829,0.9933,0.97921,1,0.99339,0.82204,0.43732,0.33572,0.45644,0.000520048,0.000520048,0.000520048
26,330.59,0.38359,0.47006,0.99211,0.99265,0.99643,0.99496,0.85025,0.37515,0.31586,0.42366,0.00050005,0.00050005,0.00050005
27,340.274,0.39125,0.46714,0.99229,0.99701,1,0.995,0.823,0.38661,0.30154,0.42928,0.000480052,0.000480052,0.000480052
28,350.162,0.38443,0.47211,0.98796,0.99853,0.99545,0.995,0.844,0.3747,0.29179,0.41145,0.000460054,0.000460054,0.000460054
29,360.343,0.37698,0.46502,0.98809,0.9929,1,0.995,0.86898,0.32245,0.29698,0.36514,0.000440056,0.000440056,0.000440056
30,369.972,0.37912,0.46381,0.99403,0.99651,1,0.995,0.86758,0.3506,0.29824,0.39656,0.000420058,0.000420058,0.000420058
31,379.686,0.37425,0.45917,0.99046,0.99535,1,0.995,0.84593,0.34526,0.29323,0.38518,0.00040006,0.00040006,0.00040006
32,389.68,0.3698,0.45897,0.98379,0.97354,1,0.99486,0.8367,0.35414,0.28357,0.39045,0.000380062,0.000380062,0.000380062
