epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.721,0.71449,1.68838,1.1853,0.83861,0.79785,0.93398,0.64449,0.62061,1.57792,0.74622,0.0700318,0.00332979,0.00332979
2,211.807,0.63294,1.14804,1.12421,0.67148,0.88774,0.95365,0.66504,0.62491,1.95834,0.6703,0.0398999,0.0065312,0.0065312
3,310.429,0.68203,1.06127,1.14737,0.83351,0.90975,0.9091,0.64381,0.53955,1.28154,0.61936,0.00963599,0.0096006,0.0096006
4,417.836,0.69134,1.00167,1.15857,0.67635,0.91305,0.87814,0.64539,0.52431,1.67206,0.57337,0.009406,0.009406,0.009406
5,634.312,0.6535,0.9463,1.14815,0.70384,0.92294,0.89608,0.70213,0.51513,1.43446,0.57335,0.009208,0.009208,0.009208
6,848.655,0.64304,0.89594,1.15075,0.7351,0.88321,0.94275,0.73403,0.56166,1.12272,0.57595,0.00901,0.00901,0.00901
7,1071.56,0.6204,0.86654,1.14599,0.66588,0.87262,0.93391,0.72656,0.50975,1.31395,0.53507,0.008812,0.008812,0.008812
8,1292.44,0.60186,0.80342,1.13426,0.81227,0.90616,0.95102,0.74079,0.52685,0.81165,0.5637,0.008614,0.008614,0.008614
9,1491.22,0.5722,0.78356,1.12532,0.92463,0.9236,0.98756,0.76087,0.5737,0.67803,0.62378,0.008416,0.008416,0.008416
10,1549.35,0.562,0.74178,1.12944,0.93449,0.96175,0.97566,0.73796,0.5344,0.48295,0.58975,0.008218,0.008218,0.008218
11,1607.73,0.56669,0.74993,1.12441,0.87498,0.92433,0.96553,0.74648,0.49758,0.57221,0.52376,0.00802,0.00802,0.00802
12,1665.87,0.55051,0.73559,1.12471,0.87259,0.90063,0.94103,0.70016,0.59837,0.68397,0.65724,0.007822,0.007822,0.007822
13,1723.96,0.52928,0.69987,1.10933,0.93433,0.94286,0.95144,0.75448,0.48616,0.46468,0.54591,0.007624,0.007624,0.007624
14,1785.93,0.53924,0.68583,1.12524,0.90904,0.88869,0.90861,0.64104,0.51389,0.57507,0.57568,0.007426,0.007426,0.007426
15,1848.87,0.52808,0.66639,1.11186,0.95749,0.98296,0.98071,0.77595,0.48569,0.45539,0.54559,0.007228,0.007228,0.007228
16,1911.06,0.50894,0.63811,1.1033,0.95158,0.94643,0.96244,0.79563,0.44115,0.44784,0.48331,0.00703,0.00703,0.00703
17,1973.27,0.51716,0.66497,1.11111,0.83699,0.89136,0.95542,0.75369,0.58211,0.63025,0.64737,0.006832,0.006832,0.006832
18,2035.21,0.49627,0.64472,1.10353,0.84922,0.82951,0.9009,0.69537,0.56685,0.61532,0.56885,0.006634,0.006634,0.006634
19,2096.62,0.48463,0.62707,1.09304,0.97482,0.9631,0.98989,0.79438,0.46389,0.38878,0.52781,0.006436,0.006436,0.006436
20,2155.15,0.48517,0.61936,1.0941,0.9694,0.97534,0.97566,0.75642,0.53619,0.50719,0.5695,0.006238,0.006238,0.006238
21,2212.87,0.49337,0.61899,1.10557,0.97153,0.98929,0.99357,0.83745,0.42627,0.39248,0.50176,0.00604,0.00604,0.00604
22,2270.59,0.47399,0.61132,1.09567,0.93896,0.92619,0.97031,0.78139,0.41086,0.38558,0.47542,0.005842,0.005842,0.005842
23,2327.55,0.46419,0.59818,1.09058,0.95674,0.9693,0.98192,0.77942,0.4514,0.37868,0.51422,0.005644,0.005644,0.005644
24,2389.23,0.47245,0.59117,1.09548,0.99279,0.96888,0.99076,0.81883,0.42677,0.40608,0.4806,0.005446,0.005446,0.005446
25,2450.8,0.46224,0.59157,1.09177,0.93459,0.96594,0.96268,0.74933,0.47874,0.36859,0.53175,0.005248,0.005248,0.005248
26,2512.57,0.45858,0.56585,1.08866,0.94427,0.97017,0.97546,0.81215,0.46957,0.38306,0.52238,0.00505,0.00505,0.00505
27,2574.94,0.44232,0.57333,1.08442,0.97284,0.92874,0.97453,0.75489,0.41385,0.41031,0.46058,0.004852,0.004852,0.004852
28,2636.66,0.44277,0.57639,1.08717,0.96534,0.97734,0.98337,0.82712,0.39455,0.31091,0.45064,0.004654,0.004654,0.004654
29,2698.14,0.45202,0.57848,1.08938,0.97126,0.98333,0.99018,0.81055,0.42276,0.35803,0.46538,0.004456,0.004456,0.004456
30,2760.4,0.44639,0.56767,1.08504,0.99726,0.98333,0.98308,0.86081,0.34456,0.29725,0.40129,0.004258,0.004258,0.004258
31,2822.08,0.43279,0.55271,1.08203,0.98188,0.98478,0.99452,0.84343,0.37821,0.34375,0.43899,0.00406,0.00406,0.00406
32,2883.69,0.42736,0.5356,1.07695,0.98109,0.98746,0.99452,0.8451,0.43192,0.37991,0.48284,0.003862,0.003862,0.003862
33,2944.73,0.4224,0.54935,1.07228,0.99834,0.99834,0.995,0.84471,0.40139,0.30762,0.44687,0.003664,0.003664,0.003664
34,3006.73,0.42126,0.53588,1.08067,0.99662,1,0.995,0.84543,0.33055,0.27798,0.4015,0.003466,0.003466,0.003466
35,3068.78,0.40159,0.52917,1.06137,0.99328,0.98333,0.98044,0.81352,0.37484,0.33313,0.41427,0.003268,0.003268,0.003268
36,3130.65,0.40038,0.53019,1.06065,0.99845,0.9992,0.995,0.86953,0.29569,0.26772,0.36705,0.00307,0.00307,0.00307
37,3204.54,0.39339,0.52569,1.06159,0.99876,0.98281,0.98425,0.84446,0.31567,0.25908,0.37779,0.002872,0.002872,0.002872
38,3301.91,0.40143,0.52968,1.06205,0.98183,0.98333,0.99406,0.85078,0.34031,0.28219,0.39618,0.002674,0.002674,0.002674
39,3393.65,0.39536,0.52029,1.06006,0.9976,1,0.995,0.85593,0.31449,0.25358,0.3843,0.002476,0.002476,0.002476
40,3483.88,0.37421,0.50701,1.04374,0.99714,0.98929,0.99489,0.84135,0.35717,0.27831,0.41051,0.002278,0.002278,0.002278
41,3582.92,0.38972,0.45346,1.0727,0.99923,0.97635,0.99406,0.85643,0.34844,0.33849,0.42484,0.00208,0.00208,0.00208
42,3675.54,0.39411,0.43445,1.05899,0.98041,1,0.99452,0.87121,0.31732,0.29907,0.38687,0.001882,0.001882,0.001882
43,3769.99,0.38515,0.42565,1.05163,0.99523,0.98193,0.99364,0.86903,0.34383,0.28275,0.40248,0.001684,0.001684,0.001684
44,3863.47,0.37476,0.42454,1.04249,0.99809,0.98333,0.99286,0.85266,0.30772,0.24987,0.37426,0.001486,0.001486,0.001486
45,3957.22,0.36326,0.41355,1.04004,0.99974,0.98076,0.99364,0.88086,0.27155,0.22506,0.34452,0.001288,0.001288,0.001288
46,4050.38,0.36316,0.40884,1.04316,0.99868,0.98071,0.99125,0.8673,0.26293,0.25339,0.33582,0.00109,0.00109,0.00109
47,4136.21,0.36594,0.40418,1.04118,0.99837,1,0.995,0.87266,0.26352,0.26888,0.33899,0.000892,0.000892,0.000892
48,4225.24,0.35627,0.39212,1.03344,0.98144,1,0.99452,0.87441,0.27779,0.29564,0.35243,0.000694,0.000694,0.000694
49,4313.49,0.34264,0.38748,1.02944,0.99659,0.98333,0.99452,0.87282,0.28608,0.28974,0.3607,0.000496,0.000496,0.000496
50,4402.08,0.3418,0.38694,1.0335,0.99821,1,0.995,0.87296,0.29042,0.28697,0.36185,0.000298,0.000298,0.000298
