epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2631,0.64213,1.38731,1.20089,0.81811,0.84607,0.89174,0.59994,0.84547,1.05914,1.08389,0.000552647,0.000552647,0.000552647
2,39.8558,0.60301,0.88372,1.16769,0.80403,0.8613,0.88947,0.56983,0.93963,1.1044,1.00305,0.00109734,0.00109734,0.00109734
3,58.1356,0.58255,0.83134,1.15216,0.8861,0.84898,0.89173,0.54033,0.78949,0.81616,0.94214,0.00163103,0.00163103,0.00163103
4,76.1887,0.58689,0.8107,1.15412,0.77069,0.82623,0.85239,0.52639,0.95297,1.13687,1.02036,0.00161749,0.00161749,0.00161749
5,94.208,0.55137,0.73599,1.13214,0.89187,0.80779,0.89105,0.63099,0.81252,0.7742,0.8663,0.00160099,0.00160099,0.00160099
6,112.512,0.5281,0.71518,1.12066,0.95228,0.8574,0.93543,0.64398,0.78124,0.67459,0.87118,0.00158448,0.00158448,0.00158448
7,130.806,0.51058,0.67605,1.11541,0.93014,0.89153,0.91903,0.6169,0.85717,0.79301,0.94481,0.00156798,0.00156798,0.00156798
8,149.412,0.49693,0.66347,1.10724,0.94974,0.90272,0.94401,0.73079,0.75357,0.61944,0.81668,0.00155148,0.00155148,0.00155148
9,168.265,0.483,0.63426,1.09827,0.9121,0.90697,0.94012,0.70813,0.69833,0.63823,0.77976,0.00153497,0.00153497,0.00153497
10,187.26,0.49114,0.64042,1.10363,0.87973,0.8672,0.91134,0.61023,0.79233,0.6755,0.86559,0.00151847,0.00151847,0.00151847
11,208.069,0.47078,0.62821,1.08755,0.91879,0.8598,0.94045,0.67345,0.7173,0.73535,0.82766,0.00150197,0.00150197,0.00150197
12,229.079,0.48113,0.62469,1.0971,0.93361,0.92988,0.95159,0.75625,0.72862,0.64668,0.80754,0.00148546,0.00148546,0.00148546
13,251.818,0.45926,0.59518,1.08217,0.89308,0.86967,0.91879,0.65891,0.78544,0.91478,0.83071,0.00146896,0.00146896,0.00146896
14,272.762,0.46798,0.59995,1.08425,0.94523,0.91878,0.96031,0.73456,0.67749,0.60266,0.77036,0.00145246,0.00145246,0.00145246
15,293.573,0.44261,0.58039,1.07842,0.93695,0.88032,0.95841,0.73493,0.73696,0.7249,0.79062,0.00143595,0.00143595,0.00143595
16,315.396,0.44945,0.59796,1.07908,0.96235,0.91146,0.95832,0.77023,0.68786,0.69543,0.80196,0.00141945,0.00141945,0.00141945
17,336.644,0.45649,0.59751,1.08507,0.91574,0.87944,0.94803,0.74634,0.69857,0.7168,0.74895,0.00140295,0.00140295,0.00140295
18,358.233,0.43309,0.56241,1.06997,0.9335,0.9444,0.96562,0.73749,0.72916,0.7199,0.78774,0.00138644,0.00138644,0.00138644
19,379.491,0.435,0.57434,1.07309,0.93277,0.92169,0.96958,0.76103,0.72401,0.70679,0.76304,0.00136994,0.00136994,0.00136994
20,400.485,0.43612,0.56073,1.07546,0.94272,0.94328,0.97302,0.80254,0.61439,0.66581,0.70682,0.00135344,0.00135344,0.00135344
21,421.763,0.43152,0.56875,1.0704,0.90956,0.89917,0.95219,0.72507,0.65177,0.74001,0.75483,0.00133693,0.00133693,0.00133693
22,443.578,0.42325,0.56741,1.06979,0.95724,0.91041,0.95105,0.7433,0.68188,0.63459,0.75748,0.00132043,0.00132043,0.00132043
23,464.979,0.41808,0.56268,1.06454,0.94933,0.90369,0.95293,0.75784,0.72792,0.67863,0.8042,0.00130393,0.00130393,0.00130393
24,486.504,0.41741,0.55432,1.06147,0.93926,0.96721,0.97178,0.77595,0.64755,0.67012,0.72923,0.00128742,0.00128742,0.00128742
25,507.812,0.41767,0.54579,1.0606,0.94511,0.9144,0.96393,0.78894,0.64773,0.6642,0.76318,0.00127092,0.00127092,0.00127092
26,529.364,0.39696,0.53194,1.04623,0.94416,0.92213,0.9637,0.75137,0.68642,0.7194,0.78143,0.00125442,0.00125442,0.00125442
27,551.168,0.40908,0.55151,1.06007,0.97391,0.96516,0.97365,0.79374,0.64786,0.64042,0.78087,0.00123791,0.00123791,0.00123791
28,572.449,0.4122,0.54946,1.05705,0.95222,0.95492,0.97608,0.78628,0.61086,0.59104,0.70351,0.00122141,0.00122141,0.00122141
29,594.453,0.40228,0.53117,1.05118,0.98048,0.93628,0.97629,0.81743,0.58826,0.57449,0.68468,0.00120491,0.00120491,0.00120491
30,615.95,0.3985,0.53088,1.05136,0.97349,0.93949,0.97156,0.80925,0.67717,0.60421,0.7558,0.0011884,0.0011884,0.0011884
31,637.014,0.39544,0.51696,1.04541,0.95865,0.94574,0.97032,0.79691,0.6017,0.67955,0.70257,0.0011719,0.0011719,0.0011719
32,658.572,0.39747,0.52006,1.047,0.94818,0.92186,0.96767,0.80146,0.62189,0.633,0.73183,0.0011554,0.0011554,0.0011554
33,679.802,0.38851,0.52769,1.04355,0.9541,0.95297,0.97363,0.80877,0.57819,0.58018,0.71275,0.00113889,0.00113889,0.00113889
34,701.216,0.39228,0.52951,1.0456,0.95776,0.91598,0.9711,0.81762,0.5753,0.61757,0.69926,0.00112239,0.00112239,0.00112239
35,722.831,0.39011,0.5179,1.04313,0.93258,0.89344,0.94848,0.77002,0.73124,0.75267,0.83726,0.00110589,0.00110589,0.00110589
36,744.375,0.38738,0.51428,1.03948,0.96347,0.95559,0.97497,0.80672,0.68235,0.72322,0.81424,0.00108938,0.00108938,0.00108938
37,765.939,0.38249,0.51006,1.04057,0.98025,0.9234,0.97161,0.80647,0.68299,0.70454,0.77905,0.00107288,0.00107288,0.00107288
38,787.783,0.37457,0.51332,1.03549,0.90603,0.94992,0.96409,0.787,0.63264,0.64155,0.75413,0.00105638,0.00105638,0.00105638
39,809.212,0.38101,0.51451,1.04143,0.96972,0.96315,0.98051,0.79324,0.61719,0.56146,0.74833,0.00103987,0.00103987,0.00103987
40,830.633,0.38054,0.50358,1.0416,0.95651,0.95563,0.97616,0.81872,0.61555,0.60628,0.71207,0.00102337,0.00102337,0.00102337
41,852.17,0.38223,0.50105,1.04571,0.96092,0.96356,0.97252,0.81444,0.67174,0.61379,0.77479,0.00100687,0.00100687,0.00100687
42,873.605,0.37884,0.50398,1.03991,0.94699,0.93697,0.96728,0.78689,0.7099,0.67862,0.82589,0.000990365,0.000990365,0.000990365
43,895.261,0.36545,0.48737,1.03022,0.97553,0.95287,0.97798,0.80349,0.63476,0.58676,0.71959,0.000973861,0.000973861,0.000973861
44,916.87,0.37048,0.49063,1.03112,0.95702,0.954,0.97522,0.83492,0.63363,0.59334,0.74655,0.000957358,0.000957358,0.000957358
45,938.784,0.36693,0.48917,1.03294,0.94801,0.94506,0.97578,0.83086,0.6104,0.59249,0.72484,0.000940855,0.000940855,0.000940855
46,960.449,0.35696,0.49241,1.02896,0.96499,0.94462,0.97542,0.81276,0.62894,0.61452,0.73227,0.000924352,0.000924352,0.000924352
47,981.754,0.36755,0.48309,1.0327,0.94676,0.9629,0.97328,0.80719,0.65009,0.62017,0.76907,0.000907848,0.000907848,0.000907848
48,1003.15,0.36228,0.48477,1.02794,0.96956,0.92623,0.97601,0.81645,0.65128,0.60994,0.75368,0.000891345,0.000891345,0.000891345
49,1024.81,0.35496,0.4747,1.02268,0.97338,0.96124,0.97594,0.80259,0.67534,0.65052,0.78883,0.000874842,0.000874842,0.000874842
50,1046.1,0.36449,0.4918,1.02924,0.95197,0.85457,0.96405,0.79813,0.59607,0.70113,0.72013,0.000858338,0.000858338,0.000858338
51,1067.44,0.35993,0.47844,1.02492,0.97754,0.9529,0.97504,0.8159,0.68392,0.61973,0.82387,0.000841835,0.000841835,0.000841835
52,1088.93,0.34918,0.47584,1.02005,0.95071,0.94877,0.97082,0.82282,0.63986,0.60494,0.748,0.000825332,0.000825332,0.000825332
53,1110.31,0.35301,0.47051,1.02381,0.96537,0.94478,0.97488,0.79948,0.66168,0.63404,0.77287,0.000808828,0.000808828,0.000808828
54,1131.93,0.34818,0.47581,1.01941,0.96759,0.94877,0.97784,0.8174,0.63487,0.6443,0.74418,0.000792325,0.000792325,0.000792325
55,1153.8,0.3501,0.4838,1.02289,0.95903,0.95697,0.97608,0.83037,0.64088,0.61484,0.74958,0.000775822,0.000775822,0.000775822
56,1175.52,0.34646,0.46868,1.02242,0.97223,0.91981,0.9713,0.82389,0.6296,0.67212,0.74302,0.000759318,0.000759318,0.000759318
57,1196.95,0.33833,0.45589,1.01967,0.97165,0.9566,0.97639,0.83377,0.61794,0.60363,0.74772,0.000742815,0.000742815,0.000742815
58,1218.3,0.3425,0.45871,1.01605,0.94831,0.96303,0.9772,0.81727,0.64992,0.58593,0.76502,0.000726312,0.000726312,0.000726312
59,1239.7,0.33477,0.45358,1.01358,0.98374,0.92137,0.97514,0.84832,0.62287,0.59581,0.7558,0.000709809,0.000709809,0.000709809
60,1261.23,0.33849,0.4563,1.01608,0.95591,0.93443,0.97115,0.82236,0.65494,0.62159,0.77517,0.000693305,0.000693305,0.000693305
61,1282.88,0.34116,0.45928,1.01727,0.97591,0.94493,0.97492,0.83059,0.59447,0.53233,0.71239,0.000676802,0.000676802,0.000676802
62,1304.1,0.33952,0.45641,1.01318,0.98021,0.94704,0.98128,0.83679,0.60526,0.56515,0.7225,0.000660299,0.000660299,0.000660299
63,1325.72,0.32961,0.44518,1.01151,0.95506,0.95856,0.97521,0.82572,0.58107,0.53195,0.68882,0.000643795,0.000643795,0.000643795
